129	2011-06-19	2011-06-26
252	2011-06-19	2011-07-02
241	2011-06-19	2011-07-03
217	2011-06-19	2011-07-17
178	2011-06-19	2011-07-24
355	2011-06-19	2011-08-28
326	2011-06-26	2011-07-15
280	2011-06-26	2011-07-17
305	2011-06-29	2011-07-13
372	2011-07-03	2011-07-31
278	2011-07-03	2011-07-31
212	2011-07-03	2011-07-31
409	2011-07-10	2011-07-17
408	2011-07-10	2011-07-17
337	2011-07-10	2011-07-24
167	2011-07-10	2011-08-07
458	2011-07-15	2011-09-11
296	2011-07-16	2011-07-30
323	2011-07-17	2011-08-05
279	2011-07-17	2011-08-14
447	2011-07-17	2011-08-14
363	2011-07-24	2011-07-31
437	2011-07-24	2011-07-31
371	2011-07-24	2011-08-04
444	2011-07-24	2011-08-07
459	2011-07-24	2011-08-21
445	2011-07-24	2011-08-21
420	2011-07-24	2011-09-04
537	2011-07-31	2011-08-07
514	2011-07-31	2011-08-12
481	2011-07-31	2011-08-14
580	2011-07-31	2011-08-21
253	2011-08-01	2011-08-19
633	2011-08-07	2011-08-14
642	2011-08-07	2011-08-21
559	2011-08-07	2011-08-21
599	2011-08-14	2011-08-28
663	2011-08-20	2011-08-27
712	2011-08-21	2011-08-28
600	2011-08-21	2011-09-04
696	2011-08-21	2011-09-11
698	2011-08-21	2011-09-18
719	2011-08-28	2011-09-04
736	2011-08-28	2011-09-04
609	2011-08-28	2011-09-04
703	2011-08-28	2011-09-12
853	2011-09-04	2011-09-07
682	2011-09-04	2011-09-18
852	2011-09-04	2011-09-18
823	2011-09-04	2011-10-02
218	2011-09-04	2011-10-02
825	2011-09-11	2011-09-18
670	2011-09-11	2011-09-18
740	2011-09-11	2011-09-25
778	2011-09-11	2011-12-04
297	2011-09-18	2011-09-25
460	2011-09-18	2011-10-16
946	2011-09-18	2011-11-20
753	2011-09-25	2011-09-30
1001	2011-09-25	2011-10-02
660	2011-09-25	2011-10-02
551	2011-09-25	2011-10-02
635	2011-09-25	2011-10-02
347	2011-09-25	2011-10-09
461	2011-09-25	2011-11-06
1650	2011-10-02	2011-10-03
1052	2011-10-02	2011-10-09
482	2011-10-02	2011-10-16
1009	2011-10-02	2011-10-30
610	2011-10-02	2011-11-12
953	2011-10-03	2011-10-31
1298	2011-10-09	2011-10-16
824	2011-10-09	2011-10-23
856	2011-10-09	2011-10-30
1280	2011-10-09	2011-11-06
581	2011-10-16	2011-10-16
1402	2011-10-16	2011-10-21
849	2011-10-16	2011-10-22
1403	2011-10-16	2011-10-23
1103	2011-10-16	2011-10-23
1444	2011-10-16	2011-10-25
588	2011-10-16	2011-10-30
664	2011-10-16	2011-10-30
1501	2011-10-23	2011-10-31
1767	2011-10-23	2011-11-06
1521	2011-10-23	2011-11-06
1211	2011-10-23	2011-11-20
1443	2011-10-23	2011-11-27
878	2011-10-23	2011-12-18
955	2011-10-29	2011-11-22
1614	2011-10-30	2011-11-06
1943	2011-10-30	2011-11-06
1191	2011-10-30	2011-11-13
1307	2011-10-30	2011-11-13
1865	2011-10-30	2011-11-13
1776	2011-10-30	2011-11-18
1347	2011-10-30	2011-11-20
1467	2011-10-30	2011-11-22
1749	2011-10-30	2011-11-27
1282	2011-10-30	2011-12-18
1740	2011-10-30	2011-12-24
1497	2011-10-30	2012-01-01
2205	2011-10-31	2011-11-07
2092	2011-11-05	2011-11-20
1138	2011-11-05	2011-11-24
628	2011-11-06	2011-11-13
